City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
466,itarema,-2.9248,-39.9167,30.2,64,96,5.74,BR,1678370324
467,pouembout,-21.1333,164.9,22.99,82,5,2.26,NC,1678370324
468,gumdag,39.2061,54.5906,20.26,48,100,5.46,TM,1678370324
469,mayo,38.8876,-76.5119,5.37,59,0,5.14,US,1678370324
470,kachug,53.9606,105.8817,-7.41,66,100,7.05,RU,1678370324
471,hobyo,5.3505,48.5268,27.52,76,8,7.27,SO,1678370324
472,itacoatiara,-3.1431,-58.4442,27.04,77,96,1.98,BR,1678370324
473,prince rupert,54.3161,-130.3201,2.83,80,0,3.09,CA,1678370324
474,gizo,-8.103,156.8419,27.13,77,100,0.76,SB,1678370324
475,marabba,12.35,32.1833,37.41,12,97,6.0,SD,1678370325
476,handan,36.6006,114.4678,19.45,9,0,3.14,CN,1678370325
477,alihe,50.5667,123.7167,-9.62,96,22,0.52,CN,1678370325
478,dicabisagan,17.0818,122.4157,22.2,88,61,1.96,PH,1678370325
479,nadaun,31.7833,76.35,19.87,32,0,1.6,IN,1678370325
480,inhambane,-23.865,35.3833,30.0,70,40,5.44,MZ,1678370325
481,tecoanapa,16.5167,-98.75,23.56,71,0,1.04,MX,1678370326
482,cap malheureux,-19.9842,57.6142,27.48,79,56,0.89,MU,1678370326
483,manhattan,40.7834,-73.9662,5.35,62,4,0.45,US,1678370326
484,moose factory,51.2585,-80.6094,-14.0,78,100,3.09,CA,1678370326
485,sakakah,29.9697,40.2064,21.76,29,13,2.97,SA,1678370326
486,katsuura,35.1333,140.3,16.1,75,100,8.19,JP,1678370326
487,rawson,-43.3002,-65.1023,19.31,39,84,1.86,AR,1678370327
488,kloulklubed,7.0419,134.2556,28.46,75,9,4.16,PW,1678370327
489,yakovlevka,44.425,133.4772,-2.46,96,100,1.06,RU,1678370327
490,sampit,-2.5333,112.95,23.35,96,97,1.01,ID,1678370327
491,rosetta,31.4044,30.4164,19.81,54,28,6.75,EG,1678370327
492,ullapool,57.8987,-5.1604,4.08,64,97,5.46,GB,1678370327
493,shingu,33.7333,135.9833,13.29,88,100,2.29,JP,1678370328
494,atambua,-9.1061,124.8925,23.77,91,99,0.45,ID,1678370328
495,luderitz,-26.6481,15.1594,21.84,63,0,7.88,NA,1678370329
496,kuminskiy,58.6667,66.5667,-2.39,96,100,5.41,RU,1678370329
497,gimli,50.6336,-96.9907,-9.99,85,93,4.63,CA,1678370329
498,quetigny,47.3167,5.1167,16.81,44,0,8.23,FR,1678370329
499,oussouye,12.485,-16.5469,38.1,16,0,2.39,SN,1678370329
500,abu dhabi,24.4667,54.3667,35.06,33,0,2.57,AE,1678369843
501,bandarbeyla,9.4942,50.8122,26.52,71,11,6.01,SO,1678370330
502,turbat,26.0023,63.044,30.2,20,100,4.97,PK,1678370330
503,luis correia,-2.8792,-41.6669,30.71,59,47,3.5,BR,1678370330
504,muncar,-8.4333,114.3333,24.98,86,27,1.22,ID,1678370330
505,val,47.3626,18.6793,17.19,58,100,9.15,HU,1678370330
506,miguel hidalgo,19.4225,-99.2028,15.88,36,0,0.89,MX,1678370330
507,ouesso,1.6136,16.0517,33.08,42,97,1.6,CG,1678370331
508,vanimo,-2.6741,141.3028,25.77,87,78,1.08,PG,1678370331
509,leshukonskoye,64.8989,45.7622,-5.36,97,100,1.27,RU,1678370331
510,manjeshwar,12.7194,74.8861,31.53,63,8,1.16,IN,1678370331
